date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,temp_roll7,temp_roll30,temp_roll_std7,temp_zscore_rolling
2025-01-12,17.16,19.85,14.91,0.03,76.59,2.57,17.274285714285714,16.998,0.213217974762062,0.40439195210841683
2025-01-13,17.27,19.9,14.66,0.0,76.88,3.43,17.258571428571425,16.960333333333335,0.2081208440162045,0.5634869918577169
2025-01-14,17.84,20.36,16.26,0.0,71.1,1.59,17.30142857142857,16.964000000000002,0.2903692230833259,1.59903344371889
2025-01-15,17.17,18.89,15.85,0.0,73.28,2.44,17.298571428571428,16.946,0.29174352728726394,0.22276256007152198
2025-01-16,17.89,19.21,16.9,0.0,78.63,3.72,17.36857142857143,16.94066666666667,0.368755952332537,1.7655482008926655
2025-01-17,18.03,19.59,16.68,0.0,75.69,4.49,17.53142857142857,16.92866666666667,0.37387290939658185,2.0797227849173527
2025-01-18,16.81,18.67,15.6,0.0,70.04,3.95,17.452857142857145,16.894,0.46305918576735766,-0.6848443576657636
2025-01-19,16.7,18.16,15.6,0.0,69.89,1.91,17.38714285714286,16.851333333333333,0.5381051410801304,-0.9976568902754474
2025-01-20,16.62,18.82,15.07,0.0,74.68,1.87,17.294285714285714,16.793666666666667,0.6126134491626587,-1.1951416659432006
2025-01-21,16.48,18.57,14.37,0.01,79.86,3.14,17.1,16.756333333333334,0.626205504074406,-1.3735767595046025
2025-01-22,17.06,18.56,16.28,0.27,78.23,3.27,17.084285714285716,16.735333333333333,0.6255359606729153,0.021508975113064578
2025-01-23,16.61,18.11,15.21,0.04,75.54,4.21,16.90142857142857,16.735333333333333,0.5306420190493,-0.5714230760126386
2025-01-24,16.99,18.87,15.48,0.0,66.93,2.64,16.752857142857142,16.755000000000003,0.21179504917943875,0.16573907617022754
2025-01-25,17.07,19.16,15.36,0.03,66.42,1.11,16.79,16.832666666666668,0.24385788210849657,0.34806994205178066
2025-01-26,16.66,19.19,13.92,0.15,72.49,2.28,16.784285714285716,16.91,0.24676960529006278,-0.04038954720906184
2025-01-27,16.87,18.4,15.62,0.02,73.72,3.39,16.82,16.956,0.23692474191841031,0.24762994539488586
