,temperature,hour,day_of_week,month,is_weekend,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-08-05,17.32,0,4,8,0,-0.8660254037844385,-0.5000000000000004,19.71,22.85,7.5,20.571666666666665,2.2184241697884475,12.868273809523808,5.236599893017361
2022-08-06,17.34,0,5,8,1,-0.8660254037844385,-0.5000000000000004,17.32,22.02,5.07,20.34125,2.258324335508063,12.926726190476192,5.231122833983169
2022-08-07,19.98,0,6,8,1,-0.8660254037844385,-0.5000000000000004,17.34,19.17,8.67,20.14625,2.308560275036882,12.999761904761906,5.2063690788194545
2022-08-08,21.13,0,0,8,0,-0.8660254037844385,-0.5000000000000004,19.98,18.87,6.54,20.18,2.299570848431643,13.067083333333333,5.22314292175103
2022-08-09,20.66,0,1,8,0,-0.8660254037844385,-0.5000000000000004,21.13,19.38,7.13,20.274166666666666,2.2898469982429885,13.153928571428573,5.235247197260533
2022-08-10,21.82,0,2,8,0,-0.8660254037844385,-0.5000000000000004,20.66,20.83,6.21,20.327499999999997,2.283011455150397,13.234464285714285,5.246081258765167
2022-08-11,23.09,0,3,8,0,-0.8660254037844385,-0.5000000000000004,21.82,24.38,5.35,20.36875,2.3013555787839715,13.327380952380953,5.259144558076794
2022-08-12,23.67,0,4,8,0,-0.8660254037844385,-0.5000000000000004,23.09,25.93,4.65,20.315,2.2171191648859234,13.432976190476191,5.2760805357565355
2022-08-13,24.15,0,5,8,1,-0.8660254037844385,-0.5000000000000004,23.67,21.84,4.3,20.220833333333335,2.006231415553482,13.546190476190475,5.2905327046367345
2022-08-14,24.15,0,6,8,1,-0.8660254037844385,-0.5000000000000004,24.15,19.66,4.13,20.317083333333333,2.138350602006499,13.664345238095239,5.304437938572643
2022-08-15,23.12,0,0,8,0,-0.8660254037844385,-0.5000000000000004,24.15,17.56,8.05,20.504166666666666,2.2706825571537794,13.783511904761905,5.313832828495711
2022-08-16,19.77,0,1,8,0,-0.8660254037844385,-0.5000000000000004,23.12,20.13,7.47,20.735833333333332,2.240675202326065,13.873214285714285,5.343580772737017
2022-08-17,18.75,0,2,8,0,-0.8660254037844385,-0.5000000000000004,19.77,21.15,6.06,20.720833333333335,2.2461056474952947,13.946428571428571,5.339584554665678
