date,temp_max,temp_min,temp_mean,precipitation,humidity
2024-02-02,14.33,8.11,10.76,31.46,84.27
2024-02-03,17.36,3.61,9.73,0.0,67.28
2024-02-04,16.93,4.58,10.23,0.25,69.73
2024-02-05,17.51,5.62,11.23,0.02,80.63
2024-02-06,20.27,6.73,12.53,0.02,76.55
2024-02-07,21.31,8.75,13.46,0.06,75.36
2024-02-08,21.62,6.51,13.08,0.01,70.5
2024-02-09,20.58,8.93,13.34,0.0,70.58
2024-02-10,20.81,7.78,13.56,0.0,72.78
2024-02-11,22.16,7.83,13.97,0.03,70.31
2024-02-12,20.69,9.46,14.13,0.0,54.01
2024-02-13,21.48,10.02,14.8,0.01,55.71
2024-02-14,18.88,7.01,12.68,0.04,73.46
2024-02-15,17.32,8.45,12.21,1.06,72.67
2024-02-16,18.7,8.34,12.35,0.27,72.53
2024-02-17,19.03,6.61,12.33,0.08,71.89
2024-02-18,19.27,8.71,13.42,0.03,74.31
2024-02-19,19.89,7.45,12.78,0.03,73.29
2024-02-20,19.97,7.22,12.98,0.0,69.89
2024-02-21,20.66,8.71,13.63,0.01,69.41
2024-02-22,21.67,6.61,13.38,0.02,71.3
2024-02-23,18.53,9.48,13.22,0.1,80.54
2024-02-24,23.48,9.92,15.37,0.16,70.59
2024-02-25,23.13,8.14,14.86,0.04,67.46
2024-02-26,25.0,9.08,15.96,0.0,57.43
2024-02-27,21.3,8.33,14.49,0.0,73.68
2024-02-28,23.62,8.39,15.25,0.0,69.24
2024-02-29,27.83,8.82,17.37,0.0,57.5
2024-03-01,29.12,13.14,20.73,0.0,37.51
2024-03-02,24.27,9.91,16.1,0.0,59.3
2024-03-03,22.32,8.9,14.82,0.0,72.25
2024-03-04,22.86,8.38,14.9,0.0,66.86
2024-03-05,26.7,9.06,17.41,0.0,55.36
2024-03-06,23.2,9.78,15.62,0.0,67.01
2024-03-07,22.26,9.29,15.14,0.0,69.86
2024-03-08,22.75,8.53,15.03,0.0,65.83
2024-03-09,22.51,8.91,14.94,0.0,64.87
2024-03-10,23.19,8.87,14.99,0.0,65.04
2024-03-11,24.29,7.21,14.9,0.0,64.05
2024-03-12,28.72,7.73,17.2,0.0,55.74
2024-03-13,26.19,9.32,16.93,0.0,59.42
2024-03-14,24.0,10.38,15.97,0.0,63.41
2024-03-15,23.32,8.2,15.47,0.0,62.59
2024-03-16,22.35,10.06,15.85,0.0,64.22
2024-03-17,25.94,10.16,17.25,0.0,64.86
2024-03-18,20.36,10.46,14.67,1.25,71.21
2024-03-19,21.8,9.25,14.74,0.07,64.99
2024-03-20,24.84,9.03,16.98,0.0,52.28
2024-03-21,26.33,10.53,17.32,0.05,49.49
2024-03-22,22.37,7.02,14.22,0.0,59.42
2024-03-23,22.19,7.67,14.78,0.0,56.8
2024-03-24,16.03,8.35,12.81,4.02,73.8
2024-03-25,22.21,6.74,14.32,0.0,55.41
2024-03-26,26.99,9.29,18.49,0.0,37.84
2024-03-27,31.21,13.38,22.76,0.0,30.19
2024-03-28,28.65,14.86,21.3,0.02,36.91
2024-03-29,27.2,14.39,20.15,0.53,65.5
2024-03-30,30.09,12.4,20.48,0.38,61.87
2024-03-31,32.58,14.56,23.09,0.05,57.21
2024-04-01,32.73,16.78,23.84,0.0,52.08
2024-04-02,32.67,14.64,22.82,0.0,51.7
2024-04-03,32.45,12.69,22.2,0.0,50.72
2024-04-04,32.92,13.36,22.63,0.0,41.53
2024-04-05,30.44,12.7,20.62,0.0,53.39
2024-04-06,27.86,11.12,18.76,0.0,58.48
2024-04-07,26.66,11.33,18.49,0.06,59.7
2024-04-08,24.9,12.08,18.24,0.3,63.25
2024-04-09,24.71,11.4,17.99,0.08,61.08
2024-04-10,26.14,11.66,18.76,0.0,58.76
2024-04-11,28.57,13.29,20.5,0.0,52.45
2024-04-12,29.07,12.61,20.64,0.01,53.35
2024-04-13,30.06,12.88,21.1,0.19,58.91
2024-04-14,30.02,14.51,21.31,0.36,60.4
2024-04-15,30.58,14.87,21.88,0.22,55.26
2024-04-16,31.49,13.06,22.26,0.0,51.87
2024-04-17,36.71,16.26,26.22,0.0,34.2
2024-04-18,30.68,16.85,23.59,0.0,47.46
2024-04-19,29.9,14.68,21.82,0.0,53.67
2024-04-20,33.74,13.64,23.13,0.0,50.22
2024-04-21,30.31,13.97,21.49,0.0,48.44
2024-04-22,33.46,13.91,23.21,0.0,40.35
2024-04-23,37.98,18.2,27.56,0.0,25.94
2024-04-24,41.63,21.85,30.84,0.0,21.1
2024-04-25,33.86,20.02,26.74,0.0,32.47
2024-04-26,31.39,17.22,23.36,0.0,49.07
2024-04-27,31.31,15.05,22.46,0.0,49.89
2024-04-28,32.39,14.42,22.62,0.0,50.68
2024-04-29,31.36,13.84,21.91,0.0,52.73
2024-04-30,31.2,14.69,21.97,0.0,55.24
