time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum
2023-12-15,18.0,7.7,12.6,0.0
2023-12-16,18.7,5.6,12.6,0.0
2023-12-17,18.8,7.9,12.9,0.0
2023-12-18,21.2,6.8,14.0,0.0
2023-12-19,21.9,8.3,14.6,0.0
2023-12-20,22.4,9.7,15.5,0.0
2023-12-21,25.0,9.8,16.8,0.0
2023-12-22,27.8,14.3,20.6,0.0
2023-12-23,22.3,12.1,18.4,7.8
2023-12-24,21.4,8.3,14.3,0.9
2023-12-25,23.8,13.5,17.8,0.0
2023-12-26,24.3,12.7,17.9,0.1
2023-12-27,23.7,15.1,18.8,0.9
2023-12-28,26.2,15.4,19.1,4.1
2023-12-29,21.0,14.2,16.8,6.1
2023-12-30,20.8,13.0,15.8,11.7
2023-12-31,18.2,12.2,14.6,2.3
